時間,lng,lat,zl,タイトル,説明,in,out
10月05日03時,164.4,15.7,4,熱帯低気圧発生,中心気圧 1008 hPa,typhoon-route:1;typhoon-route-point:1;,typhoon-route-point:0;
10月06日03時,157.4,15.1,4,台風19号発生,中心気圧 1000 hPa,typhoon-route:1;typhoon-route-point:1;,
10月07日03時,151.2,14.9,4,台風19号の動き,中心気圧 955 hPa,typhoon-route:1;typhoon-route-point:1;,
10月08日03時,144.9,16.5,4,台風19号の動き,中心気圧 915 hPa,typhoon-route:1;typhoon-route-point:1;,
10月09日15時,140,20.6,4,台風19号の動き,中心気圧 915 hPa,typhoon-route:1;typhoon-route-point:1;,
10月09日14時,139.761672,35.689858,4,気象庁会見,,typhoon-route:0.2;typhoon-route-point:0;,
10月10日03時,139.7,22,4,台風19号の動き,中心気圧 915 hPa,typhoon-route:1;typhoon-route-point:1;,
10月11日09時,138.1,27.5,4,台風19号の動き,中心気圧 935 hPa,typhoon-route:1;typhoon-route-point:1;,
10月11日11時,139.761672,35.689858,4,気象庁会見,,typhoon-route:0.2;typhoon-route-point:0;,
10月12日03時,137.1,30.8,4,台風19号の動き,中心気圧 945 hPa,typhoon-route:1;typhoon-route-point:1;,
10月12日15時,138.2,33.7,6,台風19号の動き,中心気圧 950 hPa,typhoon-route:1;typhoon-route-point:1;,
10月12日16時30分,139.761672,35.689858,6,気象庁会見,,typhoon-route:0.2;typhoon-route-point:0;,
10月12日19時前,138.7,34.6,6,台風19号が伊豆半島に上陸,中心気圧 955 hPa（10月12日18時時点）,typhoon-route:1;typhoon-route-point:1;,
10月12日20時40分,139.761672,35.689858,8,気象庁会見,,typhoon-route:0.2;typhoon-route-point:0;,
10月12日21時,139.6,35.6,8,台風19号の動き,中心気圧 965 hPa,typhoon-route:1;typhoon-route-point:1;,
10月13日00時,140.6,36.9,8,台風19号の動き,中心気圧 970 hPa,typhoon-route:1;typhoon-route-point:1;,
10月13日01時40分,139.761672,35.689858,8,気象庁会見,,typhoon-route:0.2;typhoon-route-point:0;,
10月13日12時,147,41,4,台風19号は温帯低気圧へ,中心気圧 980 hPa,typhoon-route:1;typhoon-route-point:1;,
,,,,,,,
10月12日15時30分,139.702148,35.757657,8,大雨特別警報発令,東京都や埼玉県等に大雨特別警報発令。（静岡県、神奈川県、東京都、埼玉県、群馬県、山梨県、長野県。12 日 19 時 50 分に茨城県、栃木県、新潟県、福島県、宮城県に、13 日 0 時 40 分に岩手県。）,typhoon-route:0.2;,
,,,,,,,
10月12日18時,139.377494,36.137078,12,熊谷の水位ピーク,熊谷の水位がピーク 6.25 m（氾濫危険水位 5.50 m） 。,typhoon-route:0.2;,
10月13日05時,139.56218,35.893135,12,治水橋の水位ピーク ,治水橋の水位がピーク 13.08 m（氾濫危険水位 12.60 m） 。,typhoon-route:0.2;,
10月13日01時,139.514072,35.954022,12,菅間の水位ピーク ,菅間（支川入間川）の水位がピーク 12.60 m（氾濫危険水位 12.00 m） 。,typhoon-route:0.2;,
10月13日09時50分,139.729217,35.788045,12,岩淵水門の水位ピーク,岩淵水門（上）の水位がピーク 7.17 m（氾濫危険水位 7.70 m） 。戦後3番目の水位を記録。,typhoon-route:0.2;,
,,,,,,,
10月12日21時17分,139.733466,35.785535,14,岩淵水門全閉,岩淵水門を全閉。荒川の洪水が隅田川へ流入することを防ぎ、隅田川の洪水氾濫を防止。,typhoon-route:0.2;,
10月13日00時54分,139.743626,35.782606,14,新芝川排水機場の運転開始,芝川水門を閉鎖し、新芝川へ洪水が逆流するのを防ぎ、排水機場のポンプで荒川への排水を実施。,typhoon-route:0.2;,
10月12日10時40分,139.820058,35.750152,14,綾瀬排水機場の運転開始,綾瀬水門を閉鎖し、綾瀬川へ洪水が逆流するのを防ぎ、排水機場のポンプで荒川への排水を実施。,typhoon-route:0.2;,
10月14日11時27分,139.743626,35.782606,14,新芝川排水機場の運転終了,新芝川排水機場の運転終了。,typhoon-route:0.2;,
10月13日13時09分,139.820058,35.750152,14,綾瀬排水機場の運転終了,綾瀬排水機場の運転終了。,typhoon-route:0.2;,
,,,,,,,
10月13日07時15分頃,139.422469,35.998259,12,堤防決壊（都幾川）,都幾川右岸0.4k付近堤防決壊確認。,typhoon-route:0.2;,
10月13日06時00分頃,139.416955,35.994718,12,堤防決壊（越辺川）,越辺川左岸7.6k付近堤防決壊確認。,typhoon-route:0.2;,
10月13日05時25分頃,139.468362,35.959092,12,堤防決壊（越辺川）,越辺川右岸0.0k付近堤防決壊確認。,typhoon-route:0.2;,
,,,,,,,
10月12日24時,138.996277,35.999119,10,荒川上流で大雨,荒川の上流にあたる地域で記録的な大雨となった。10日19時～12日24時 解析雨量（53時間積算）で秩父市付近 約700ﾐﾘ。,typhoon-route:0.2;,
